"类型","题目","选项","答案"
"多选题","关于问责委员会作出的处分决定文件，以下说法正确的有（   ）。","a：必须员工本人签收
b：员工可以拒绝签收，但不影响处分决定的执行
c：员工无法签收的，可由其领导签收
d：问责委员会可以邮寄给员工","a：必须员工本人签收
b：员工可以拒绝签收，但不影响处分决定的执行
d：问责委员会可以邮寄给员工"
"判断题","法人金融机构应当形成电子的自评估报告，经高级管理层审定后上报董事会或董事会下设的专业委员会审阅，并书面报告对法人机构具有管辖权的人民银行总行或分支机构。","a：正确
b：错误","b：错误"
"判断题","民银纪发[2016]26号《中国民生银行银行员工异常行为监督管理办法》将员工异常行为分为工作方面和非工作方面两部分。","a：正确
b：错误","a：正确"
"多选题","下列哪些行为属于违背公序良俗和违反治安管理法规的相当性质的行为？（   ）","a：放任动物恐吓他人
b：制造噪声干扰他人正常生活
c：强行冲闯公安机关设置的警戒带
d：公然侮辱诽谤他人","a：放任动物恐吓他人
b：制造噪声干扰他人正常生活
c：强行冲闯公安机关设置的警戒带
d：公然侮辱诽谤他人"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"判断题","与客户发生频繁、大额资金往来，且用途不合法或者拒绝解释资金用途的，给予警告至记大过处分；情节较重的，给予降级至留用察看处分；情节严重的，给予开除处分。可并处经济处分或其他处分。","a：正确
b：错误","a：正确"
"判断题","如果客户紧急，可以不经过授权审批流程，直接对用户授权。","a：正确
b：错误","b：错误"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","处分决定书发送范围应包含但不限于（   ）。","a：问责委员会成员部门
b：问责发起部门
c：调查组成员部门
d：被处分人所在部门
e：问责执行部门","a：问责委员会成员部门
b：问责发起部门
c：调查组成员部门
d：被处分人所在部门
e：问责执行部门"
"多选题","员工依法受到刑事责任追究的，应当根据司法机关的生效判决、裁定、决定及其认定的事实和情节，依照本办法规定进行问责。有下列情形之一的，给予开除处分：（   ）。","a：因故意犯罪被判处管制、拘役或者有期徒刑以上刑罚（含宣告缓刑）的
b：因过失犯罪，被依法判处三年以上（不含三年）有期徒刑的
c：因过失犯罪被判处三年以下（含三年）有期徒刑或者被判处管制、拘役的
d：因过失犯罪被判处有期徒刑但宣告缓刑的","a：因故意犯罪被判处管制、拘役或者有期徒刑以上刑罚（含宣告缓刑）的
b：因过失犯罪，被依法判处三年以上（不含三年）有期徒刑的
c：因过失犯罪被判处三年以下（含三年）有期徒刑或者被判处管制、拘役的
d：因过失犯罪被判处有期徒刑但宣告缓刑的"
